CARACTERISTIQUES_PRINCIPALES_ID;ID_REMAX;SUPERFICIE_TERRAIN;NOMBRE_PIECES;ANNEE_CONSTRUCTION
1;26013325;13421;13;1978
2;19909549;12157;7;2011
3;14372056;0;12;2010
4;14923360;16656;12;2010
5;14279516;2;7;2004
6;22027607;3843;9;1992
7;26888978;6500;12;2007
8;22084186;57538;11;2007
9;12981836;522720;8;1990
10;14371921;27135;11;1969
11;19292461;23955;19;2009
12;13917785;2;7;2004
13;17535365;10788;11;1951
14;14551882;6000;7;1979
15;21264976;0;5;1975
16;19145651;2494;9;2013
17;22519373;0;5;2019
18;12865880;2;7;2004
19;9736715;7454;11;1964
20;17546793;0;7;2003
21;28362642;878335;7;1980
22;15982544;5124;12;1995
23;11590805;15132;10;2019
24;10038716;4994;10;2008
25;13266413;6200;14;2007
26;20681756;1770;10;2006
27;14627185;108256;6;
28;21647717;0;6;2010
29;13637247;6845;15;1988
30;13617790;9192;8;1969
31;14585324;0;9;2012
32;11802374;6096;9;1958
33;27776787;2;7;2004
34;26766752;6200;7;1973
35;13353717;13798;12;1906
36;18492709;2;7;2004
37;16949699;17494;7;2011
38;20891259;2639;8;2007
39;18680283;33955;12;2018
40;27866607;11444;8;1973
41;23562415;37000;4;1975
42;21931910;4542;5;1956
43;28077024;40084;8;2007
44;15747773;0;8;
45;25944260;0;6;1987
46;26042588;8060;11;2006
47;20213474;7218;17;1986
48;28600931;0;7;2017
49;26732736;0;6;1987
50;23409855;0;9;2015
51;12091107;3352;9;1986
52;17494486;16687;9;2009
53;19841907;20017;14;1994
54;25616484;4088;12;2004
55;13034788;262705;7;1989
56;25592035;2777;9;1996
57;12782121;1702;11;2012
58;12127700;0;7;1988
59;23816069;5533;7;1972
60;19339735;15000;10;2012
61;13112506;10748;11;1960
62;27197804;20871;6;1971
63;12528714;53015;11;2007
64;28918732;13250;6;1980
65;15314076;0;9;1947
66;16620292;4386;8;1945
67;25039877;16297;17;1983
68;13546802;16921;11;2001
69;16105098;0;6;1971
70;17191558;153;5;2013
72;28140589;43550;18;1978
73;20889663;7919;13;1957
74;23905518;4836;13;1905
75;17027719;0;14;2010
76;22825819;4946;9;2012
77;22688211;4150;11;2008
78;27821090;0;9;1980
79;24567421;9412;8;1985
80;27638446;48276;10;1968
81;20424250;76065;6;1960
82;28481213;5600;5;1992
83;19867455;6569;9;2017
84;25562646;43056;6;1996
85;9688835;14764;12;
86;14048581;5725;12;2018
87;20391586;0;6;1991
88;20592166;8036;10;1966
89;21050591;0;6;2008
90;10348860;28093;17;1975
91;23906629;0;6;2005
92;22508026;1833;12;2012
93;20193179;40045;20;2010
94;12639093;6200;8;1960
95;13068017;0;5;2009
96;21040246;0;7;2010
97;9178683;0;9;2008
98;28694284;198474;14;1977
99;14600164;0;7;2012
100;22872807;5002;11;1954
101;21223551;8035;12;1997
103;15499808;65455;11;2014
104;10103255;0;5;2016
105;15923519;3653;10;1850
106;12106357;0;11;
107;23573928;0;5;2001
108;16496436;3750;10;1978
109;18000194;34501;18;
110;19091698;9212;7;2012
111;11083640;0;8;1987
112;24048180;5983;10;1967
113;23054979;0;6;1996
114;17430485;7500;8;1952
115;24551060;45302;11;2003
116;24750235;2169;9;2001
117;17214946;2606;8;2014
118;27912525;2194;10;2009
119;18635892;30519;11;
120;13883834;8077;12;1985
121;15169421;0;10;1957
122;14672564;14142;12;1994
123;22717879;30600;12;1968
124;24504347;0;10;1988
125;28114114;0;5;
126;25346029;27470;5;1955
127;14424243;14600;4;
128;18541673;4623;8;2007
129;13801127;0;5;2008
130;27695312;0;8;2015
131;15739398;4204;7;
132;19433427;32299;9;1928
133;21112889;25240;10;
134;14932892;0;5;2014
135;20835389;17795;6;1967
136;18880929;3342;12;2013
137;19473963;5410;10;1994
138;23664618;5582;17;1990
139;24669182;0;7;1995
140;12903107;7535;17;2007
141;13571911;6005;12;2006
142;13187008;261958;20;2004
144;20329916;71733;22;1996
145;28575678;8127;13;1971
146;17358466;22565;14;1949
147;14343496;0;6;1922
148;13609945;3458;13;2003
149;23692670;8398;4;
150;25697169;8304;11;1965
152;20628129;60855;7;1970
153;10396930;2525;16;1900
154;25487257;8855;10;1992
155;23378298;6411;12;1986
156;19721870;4196;10;1977
157;16277466;0;6;
158;25854126;478;13;1986
159;11607572;4096;9;2015
160;26861233;5974;13;2010
161;19168526;17784;10;1900
162;13704063;6480;6;1975
163;13651583;5000;14;1991
164;22045283;13895;14;1976
165;20814596;8453;7;1978
166;28494223;0;6;2011
167;10109479;87051;12;1970
168;18524327;11666;7;
169;22359958;0;4;2006
171;27644262;0;2;
173;23161384;0;4;2014
174;27271017;971646;11;2006
175;13469831;6534;7;1983
176;15923007;3520;11;1978
177;18993519;3853;12;1978
179;11318012;12870;10;1959
180;22871949;2300;6;1945
181;17569112;0;6;2009
182;22174598;36361;5;1935
183;10358728;0;6;2011
184;25193175;6490;11;1964
185;26327498;5909;8;2003
186;25345113;0;5;2002
187;18152911;5506;11;1953
188;13251350;6304;13;2017
189;16442916;10290;13;2002
190;13077415;10115;11;1961
191;21242021;3000;10;1986
192;26294518;6176;9;2016
151;28987169;11410;7;2008
143;10311828;26952;14;1910
172;22498335;6931;9;1975
194;10152822;0;7;1987
195;27777739;11197;12;1986
196;13216164;22540;7;1960
197;25257203;0;4;2012
198;16303756;6663;12;2002
199;19201746;0;8;2015
200;20734918;20450;7;1972
201;9515501;6086;11;1985
202;21281082;0;6;
203;9844201;6681;10;1885
71;15777392;5434;8;2008
204;15793011;0;6;1987
205;11902769;16147;12;1997
206;25532163;34070;13;2010
207;27390631;19191;6;1998
208;16764151;5258;8;1987
209;9797913;0;7;2009
210;20822320;5031;10;1990
211;20867507;25626;10;1920
212;17090058;18425;8;1935
213;21837250;101375;7;2011
214;28053436;6828;16;1977
215;26990344;5835;10;2013
216;9211418;4133;5;1945
217;11567788;6533;10;2010
218;15562061;5168;11;2008
219;16408410;4860;9;1955
220;17182759;1855;9;2016
221;26762556;23987;10;1983
222;16132691;47367;8;
223;10613254;8979;9;2003
224;15860571;10740;8;1996
225;15807448;5419;8;1989
226;26355518;5400;7;1955
227;12696684;11146;5;1977
228;22341241;11185;9;1967
229;24355806;4880;14;1960
230;14865740;4500;9;1965
231;27583755;2310;7;2015
232;19185419;0;7;2013
233;20856593;64625;7;2001
234;23606872;6356;8;1976
235;25919419;0;12;1968
236;17802174;3713584;11;
237;28965515;365;9;1994
238;9959075;7633;13;2000
239;9845280;0;13;2011
240;10965008;0;8;2019
241;27526296;0;6;2011
242;9853394;5696;16;1994
243;18190929;17603;7;1977
244;14227868;6297;14;2011
245;13268995;99551;10;2013
246;17457091;13617;11;1960
247;18681175;3749;11;1951
248;12922894;6500;12;1968
250;27608308;2332;12;1948
251;13397534;0;5;2014
252;28554852;0;7;2007
253;25159336;48234;12;1993
254;23762743;0;3;2017
255;13073434;1998;9;1958
256;19921100;5827;9;2019
257;20655960;7392;8;1907
258;17901301;7787;13;2009
259;15334415;0;5;1985
260;27238520;0;6;2013
261;19064650;59033;14;2011
263;22158136;2000;10;2008
264;18745715;4337;10;2017
265;26697827;0;5;2014
267;21877435;7067;14;2005
268;17360510;6750;12;1994
269;19580381;698;6;1875
270;20154571;11176;9;1999
271;21959477;7805;14;1922
272;11238864;7690;10;1967
273;20234827;0;8;1980
274;14489949;68925;10;2014
275;24041710;16927;8;1954
276;28689972;0;6;
277;13597902;0;6;
278;11167789;92120;14;2013
279;11504422;11958;5;1945
280;14491222;4044;10;1999
281;13530821;12871;9;1984
282;27729578;0;4;2013
283;27855140;80234;13;1992
284;18551958;0;6;
285;13098967;0;6;2012
286;12839632;0;8;2012
287;24468454;0;7;
193;15567489;20423;17;2008
289;19367218;27559;5;1965
290;10541237;0;6;
291;21948760;0;8;
292;21597649;0;6;2012
293;25106278;6307;7;1988
294;24331754;9001;7;1978
295;15855210;0;5;1988
296;15927377;0;4;2017
297;18388666;0;4;1962
298;25580450;38467;8;1936
299;17003046;0;7;1972
300;28476565;4528;12;1972
301;11447817;0;6;
302;20887314;0;8;2010
303;11332355;6350;10;1959
304;16638031;39985;12;
305;18160294;3260;12;2011
307;16346432;0;6;
308;17950250;12723;10;1980
309;22003568;0;9;2007
310;23223261;16194;8;1983
311;11044970;0;9;2016
312;19161830;5643;7;2013
313;15117093;6163;10;1999
314;24200114;2601;9;1988
315;23571363;16476;12;1987
316;17112386;0;6;
317;14147614;47256;9;2004
318;25142452;0;11;1988
319;26971728;4368;7;1958
320;9530205;6889;12;1971
321;14746798;51253;12;2004
322;27835385;4560;14;1967
323;15411641;76001;9;2016
324;23791161;5400;10;1962
325;12202600;0;7;
326;28336359;0;3;2018
327;28167034;5020;4;
328;18165837;4900;16;1981
329;19484913;9020;12;1954
330;25776466;12278;7;1900
331;13326377;29321;7;1987
332;17227876;9812;10;1962
333;20218583;8027;15;2000
335;20161492;0;10;2013
336;20893776;0;6;
337;22401466;5974;14;2013
338;16743824;27999;12;1977
340;11029723;10440;14;1996
341;25341813;5002;10;1983
342;13940911;7214;14;1990
343;25567865;1350;12;1992
344;20316214;3913;9;
345;20094643;45723;12;1993
347;11584690;81784;14;
348;11001504;1761758;10;1970
349;23885796;11711;8;1975
350;21869895;6042;10;1948
351;17226516;0;7;1991
352;12661717;37491;14;1971
353;14111309;0;6;2007
354;28165175;7664;10;1976
355;10240384;0;6;2013
356;19238841;5980;11;1982
357;22489034;0;4;1924
358;28822184;7056;12;1976
359;21346020;32292;12;2003
360;18777919;5040;13;1967
361;11804949;4350;9;1958
362;14156669;2132;10;2015
363;23821004;10058;5;1960
364;26185127;12368;14;1891
365;27964672;22400;9;1968
366;18315452;192743;19;2008
367;28849686;11673;8;1925
368;24562393;11827;13;1973
369;14013669;44083;11;1955
370;17000369;1011;4;2014
371;24747850;41325;14;2003
374;22284778;8719;13;2008
375;22767845;2800;7;1942
376;12933253;7560;13;1951
377;11006181;8946;9;2016
378;18020049;0;8;2012
379;27956713;0;8;1969
380;22289560;7182;11;2016
381;10119754;4986;12;2004
382;18379720;30166;11;1978
383;20476904;5535;9;1972
372;16792244;1993;8;1971
373;11578890;0;7;1988
339;28379457;88242;8;2000
288;16933270;6913;16;1984
346;27755557;53836;14;1942
384;16294314;19542;12;1987
385;26355392;47669;12;
386;17946690;5430;13;1956
387;13801222;0;8;1984
388;20486508;1588;6;1952
389;25548752;4865;11;2007
390;25060518;6480;13;2008
391;22652419;97181;12;1968
392;19096701;11735;12;1996
393;27393279;43669;11;
395;28157900;0;7;2015
396;10314623;0;6;1925
397;26765308;0;4;2014
399;23544705;3060;9;1972
400;14273842;9761;8;1979
401;17752931;0;4;2013
402;19292491;1593;7;1885
403;16096792;6910;14;
404;21978173;23326;12;2006
405;25929848;634;5;2013
406;16529290;0;6;2011
407;12423492;4676;12;2016
408;24010640;44761;6;
249;19974143;14106;11;1988
262;26658558;43745;9;
266;14102691;7802;13;1986
410;23133154;7934;11;1995
411;11186991;0;10;2012
413;16094078;0;6;1990
414;24096226;17448;7;1960
415;13814621;7665;12;1963
416;13979205;0;4;1986
417;9676291;0;7;1985
418;25307408;0;5;2009
419;10618672;0;3;
421;13081553;0;8;2011
422;23940986;5450;6;2019
423;23517809;0;6;2018
424;21881306;15931;9;1975
425;24051449;5000;13;1950
426;12122657;3300;10;1949
427;21391196;5590;7;1963
429;18540678;0;7;2014
430;17904652;5651;11;2009
431;26383794;0;7;
432;15062727;2720;6;1825
433;21787375;87950;11;1957
434;27341319;14719;10;1990
435;28306440;0;10;1967
436;15818969;5697;8;1971
437;13852283;3799;13;1910
438;11837342;624;9;2016
439;14700618;0;7;1965
441;14844876;75639;15;
443;24236353;1094;5;1985
444;10360877;0;8;2015
445;17041719;0;8;2013
446;22723177;0;8;2004
447;9968928;7348;12;1962
448;18470944;14000;14;1929
449;22882589;0;6;2004
450;10314589;6491;10;1960
451;20055792;0;9;1990
452;13003651;6491;10;1900
453;13922450;10469;22;2015
454;25246535;14769;11;1988
457;16029989;8775;6;
458;27977848;1938;12;1989
459;11192562;9256;22;1991
461;24951333;16191;9;2006
462;16359715;9472;13;2003
463;9261648;0;12;
464;18787136;0;8;2011
465;14788671;8775;6;
466;27780344;16428;14;2003
467;26202473;0;7;2019
468;14433972;0;8;1977
471;27082609;5086;10;2016
472;21993635;6403;15;1945
474;10122090;0;9;1991
475;24718351;10993;12;1964
394;16363289;4050;8;2001
476;12128835;53820;6;2014
398;11419082;29120;9;1996
460;15279921;18750;15;1978
409;17454197;7170;9;
477;28287185;0;7;2019
478;20395081;27999;8;1988
479;20393800;47374;16;2012
480;19423273;2991;13;2007
481;25517953;4950;12;1968
482;19717162;4024;11;2010
483;14331484;2599;7;1953
484;24428018;10049;14;
485;20115235;7140;12;2008
486;27638710;27269;9;2012
487;27452471;1539;7;1991
488;18172160;5535;9;1965
489;28608802;6350;14;1971
490;24745441;6290;6;1955
491;14944765;0;9;2012
492;23520767;8609;9;1955
493;9116049;6876;19;1987
494;14172226;17689;9;
495;10271617;11059;10;1957
497;22471796;52552;6;2009
498;23897678;6000;11;1976
499;12845927;6529;12;2013
500;14433780;4881;11;1955
502;15187789;22878;7;
503;17707170;8417;8;1970
505;16932784;19412;13;1982
507;25405879;0;9;2017
508;10333097;5400;10;1955
509;17766459;0;6;1947
510;24651597;19501;14;1967
512;14718294;7550;8;1999
516;25062207;8048;14;2005
517;11370479;8522;14;2004
518;22436628;12984;10;2003
519;24882360;0;4;1977
520;22577692;0;9;2016
521;23222696;12560;7;2010
523;25526986;37435;7;1970
524;23021197;5316;10;1985
525;10719350;27862;11;
526;17816537;4900;10;1956
527;21245203;0;6;2012
528;20525024;62131;13;2004
530;17823828;53920;9;1978
531;26517237;4616;11;2006
532;23946505;3471;9;2017
534;18392574;38978;12;1999
535;9727858;16142;8;1945
536;20289117;30000;14;2005
537;9885950;23508;18;2002
538;15485956;6696;9;
539;20565456;28775;12;2012
541;26275453;5251;13;2011
542;27334860;5200;9;1987
543;23842693;58025;20;1946
544;25124616;5328;13;2013
545;11442135;21874;13;2011
546;23800978;0;10;2007
547;18094061;0;4;1977
550;16183927;30683;14;2013
551;20304694;0;3;2017
552;19237282;48539;14;2008
553;12730188;16350;13;1978
554;16552178;35876;9;1935
555;11608098;0;2;
558;23787252;0;6;1995
563;19687943;19500;14;1974
566;10095799;0;4;2014
570;19234581;4386;12;1985
571;14207594;0;3;2016
572;14279789;21166;11;1948
504;21781475;19199;10;1979
506;27198892;4999;8;1948
511;25244724;136777;17;1925
513;26544047;64075;15;2002
522;9509086;8990;11;1973
529;17989064;21395;13;1997
533;14308798;3641;11;1997
514;11713551;8812;17;1995
548;25662332;2051;11;1989
549;17228795;3683;14;1949
501;21096427;0;6;2000
515;21509238;0;5;2010
560;20699675;1354;9;1973
496;14585024;5584;14;
540;11978077;8859;10;1953
573;12022785;0;6;2015
577;28358130;7737;6;1967
578;12485240;6204;13;1975
579;16209712;0;9;1988
580;11427685;90079;15;1996
582;11582437;3048;10;1991
584;11226099;43559;9;2014
590;25528538;6005;13;1963
591;14155455;2959;12;1974
592;14464565;4522;7;1956
593;15508736;2155;11;2010
596;12337231;14810;14;2005
599;23345821;3068;12;1992
601;25977335;3106;12;1987
602;23070621;0;6;2014
412;10166034;47460;11;1989
420;22060867;36457;11;2004
428;26899585;0;8;1995
440;28326813;3845;10;2001
442;28927766;9676;20;2012
455;19370350;30000;9;1989
456;21205647;5425;6;1991
469;16748566;0;6;
470;28646238;52024;6;1999
473;16136217;3169;11;2004
604;20289972;7134;6;1950
605;11086891;0;7;2014
606;22869982;0;5;1971
608;25425792;6340;11;1949
609;17991701;62151;12;1973
612;28704318;6455;16;1988
613;22485977;3864;12;2009
615;18427533;124627;19;1977
616;18451207;5172;14;1988
617;28552720;0;8;1997
620;23277636;3450;8;2004
621;27604876;1394;9;1989
622;24804695;5447;12;2004
623;24178269;7504;14;1969
626;13311729;0;6;2012
627;11881999;6048;9;1950
628;16276036;9708;12;
629;19204760;2125;9;1954
634;23997117;0;6;2015
635;21434527;3342;7;1986
637;10681341;25288;6;2008
639;17363693;30462;9;1985
640;26672497;0;5;2003
642;21546275;5611;11;1977
643;21453879;4844;12;2011
644;26887656;7212;14;2001
645;22735277;7584;11;1990
646;17906536;1766;10;2000
647;10313702;63055;10;2015
556;23582705;7187;10;1957
557;19511729;10154;10;1981
559;11992872;4973;5;1948
561;18585020;0;3;
562;25055060;64803;10;2012
564;11589915;0;6;
565;28403485;7000;15;1973
567;28757275;150;8;2014
568;14201845;13605;6;2011
574;9995311;5812;5;1964
607;15541999;4950;9;1958
641;20462289;20553;11;1978
618;28218890;23502;12;
619;15012800;28452;10;1964
624;15477955;0;9;2007
625;22622568;8251;15;2012
631;25520965;11464;10;1975
633;19583599;6070;18;1997
610;12278844;5403;9;1970
611;28351289;0;7;1988
632;20008689;32753;16;
636;20959718;0;7;2010
638;10327417;8470;10;1973
614;24459365;0;5;2003
569;23849157;32181;14;2009
630;17129914;15089;12;1977
603;22845474;58007;7;
575;27735580;12208;14;2007
576;9642451;5059;11;1988
581;19646565;768;4;2013
583;27091274;5040;10;1964
585;24722465;3261;12;2001
586;28380779;0;7;2009
587;17152479;19637;11;
588;14710845;0;6;1990
594;11120581;4000;11;1961
595;17176427;7860;12;2003
597;18092256;0;3;2012
598;23401245;8873;13;2000
600;25027591;0;8;2005
648;11854132;0;8;2003
649;17998864;32339;10;2003
650;17230348;0;4;2019
651;10925994;0;5;2012
652;24720245;5856;10;1962
653;25407372;0;7;2014
654;17951134;4969;11;2009
655;11094330;12484;8;2004
656;28192445;9924;6;
657;18857738;0;4;2005
658;20726185;6405;10;1997
659;24761966;4500;10;1988
661;24507629;11733;5;1998
663;12378406;3216;7;
664;22844482;0;5;1987
665;20073516;0;9;1952
666;18784128;8775;6;
667;9744267;0;6;1952
668;20997217;6558;11;1973
669;21541994;0;6;2010
670;20375189;7274;12;1961
671;13730805;4062;7;2004
672;26476343;5022;10;1973
673;28729363;40000;8;2018
674;17978936;0;6;2008
675;21490155;9164;14;2005
676;15231684;12563;11;1920
677;14188779;0;5;2007
678;15692634;0;9;2006
679;27620764;0;6;2010
680;10682009;5952;12;1969
681;15158108;4407;11;1947
683;23727190;2980;10;1971
684;9974821;5850;12;1975
685;15998027;16921;10;2014
686;9756375;60891;8;1965
687;9392582;5662;11;2012
688;20642934;0;7;2010
689;12479474;15041316;11;1972
690;28019175;2668;7;1921
691;24355006;0;8;2011
692;20787824;8775;6;
694;18087872;5193;11;1979
695;16868952;5474;4;1960
696;19602290;59986;9;
697;13405335;4307;13;2002
698;11617006;0;5;2019
700;24803870;0;5;2019
701;22113973;4844;9;1946
702;26485489;0;7;2006
703;14110898;5610;7;1992
704;9741553;7199;9;1968
705;23612942;8285;7;
706;9179876;522720;9;2016
708;18614386;13251;6;1978
709;21931455;688;5;2012
710;26024060;0;10;1952
711;25938815;0;9;2012
712;27431892;0;7;2012
714;24995077;3605;13;2006
715;17487728;0;5;2009
716;20667591;0;6;2015
717;23394329;1926;9;1998
718;18865436;4133;6;1950
719;13993169;4422;9;1974
720;27391015;16626;8;
721;24642160;4950;11;1970
722;23317738;5039;8;2009
723;14879082;7275;13;1961
724;23026517;0;5;2014
725;28169895;0;4;1969
726;16171645;0;6;1910
728;20067232;6500;8;1970
729;12290093;2293;4;1938
682;28353804;9295;13;1975
589;25201502;14793;7;1987
662;25580572;5121;8;1991
693;18040925;4728;9;2011
660;26546957;16898;7;2011
699;22181645;4707;13;1999
713;13446715;11825;7;1984
730;13625943;7150;10;1957
732;24009715;0;8;1991
734;17543958;42228;7;
735;28807721;5300;15;1951
736;19092028;41609;16;2011
737;10974904;11499;6;1925
738;16478810;0;6;
739;26385974;49056;13;2008
740;13320804;0;7;2003
741;27643530;25610;8;1976
743;24726976;0;10;2017
744;9183410;0;4;
745;9219272;0;3;2010
746;14678811;37500;6;1965
747;14676119;4921;7;1997
748;13372544;18792;16;1928
750;27048141;21578;16;1837
752;22794767;26205;15;1986
753;12295534;20000;7;1979
755;12891545;8827;14;2011
757;15832622;15390;16;1966
758;28919261;3360;12;1955
760;9268072;5400;10;1963
761;9253354;6119;21;1991
762;18202994;5533;12;1982
763;25365483;0;7;2016
764;27539279;8455165;15;1850
766;13517347;11136;15;2010
767;11990619;10118;7;1971
768;22176701;9360;9;1985
769;9451873;3472;11;1993
770;16727307;0;8;1999
771;9564775;0;5;
772;27690975;0;5;2007
776;27021667;1800;10;1972
777;22983006;18692;8;2017
778;26040077;0;9;2014
779;22812124;2812;8;2008
780;23885932;19638;9;1970
781;28529843;6270;11;1960
782;28041769;4921;13;2000
784;24589683;1367;6;2008
785;15775605;2832;5;1931
786;13034191;6674;10;1977
787;10447246;1771;12;1993
788;28768549;8433;20;1953
789;13847238;0;11;1986
790;9364121;14740;16;2013
791;15343561;5946;13;2010
792;21272033;11480;12;1977
793;14208766;0;1;2003
794;24724447;0;11;1976
795;24769107;0;5;2012
796;17030703;0;12;1994
797;26474429;34117;11;2017
798;9491744;4413;8;2005
799;15704029;33525;8;
800;12419342;948;9;1982
801;28623362;2351;13;2016
802;15747271;0;4;1966
803;28360457;0;7;1944
804;28878722;4392;8;1979
805;18949728;0;6;1995
806;13368078;38543;12;2006
